Position (mm),Cluster no.,Si,K,Ca,Ti,Cr,Br,Mn,Fe,Ni,Cu,Zn,Pb,Zr,Rb,PC1,PC2,PC3
107,1,-1.036006872,0.43920254,-0.295231643,0.414730731,-1.800763585,-0.161215871,-1.491482401,4.058192128,-1.390941172,0.550403707,-0.599852231,-1.453742073,0.591558425,0.075395897,-1.610557196,-0.345117041,-1.481479549
108,1,-0.952342112,0.40882649,-0.166270981,0.583679033,-1.900019158,-1.360620162,-1.292566698,4.113010694,-1.216580791,0.521743596,-0.475805562,-1.105868767,0.657470262,0.098977019,-2.032158816,0.336532916,-0.146169225
109,1,-1.152956411,0.358346283,-0.406517933,0.527969503,-1.77500767,0.486755429,-1.484388738,4.096038018,-1.23633802,0.509772799,-0.656977295,-1.695870349,0.412144565,0.024564339,-1.585553822,-0.387782869,-2.193974404
110,1,-1.097719673,0.480711486,-0.36233557,0.457159255,-1.620414873,-1.010892679,-0.222066587,4.235618824,-1.328079465,0.768279449,-0.476810193,-2.616282003,0.725258302,-0.021479682,-1.891237018,0.419034353,-0.309834545
111,1,-0.909794691,0.501779827,-0.356509859,0.506662649,-1.579131223,-1.883952805,-1.185500572,4.307059951,-1.256763592,0.788359971,-0.398969067,-1.559713137,0.826222795,-0.009698645,-2.151862213,1.270368235,-0.245468368
112,1,-1.079537186,0.390989951,-0.50567526,0.533388089,-1.92829171,-1.28482795,-1.260985761,4.148671591,-1.320302338,0.81419278,-0.515564092,-1.038889879,0.789910862,0.13183178,-1.699302106,0.100351854,-0.568022233
113,1,-0.857794468,0.578662741,-0.492884296,0.620307442,-1.745647264,-1.69108828,-1.462649041,4.222928824,-1.19004486,0.643286993,-0.405984185,-1.502151484,0.856696221,0.186145003,-2.713664355,0.673159681,-0.525581271
114,1,-0.692551455,0.525037899,-0.85317465,0.590172901,-2.145537191,-1.156124194,-1.520152112,4.232397097,-1.2196376,0.897670754,-0.551387971,-1.255802876,0.701775078,0.227602772,-2.379153585,-0.50815761,-0.907342574
115,1,-0.82457261,0.420080837,-0.764571753,0.457048083,-1.583436862,-1.296698631,-1.653778351,4.273298811,-1.313841908,1.050215049,-0.417930338,-1.291048898,0.634124586,0.177668866,-1.822691487,0.741083629,-1.402255878
116,1,-0.703993587,0.607118256,-0.872794397,0.588124332,-2.044244009,-1.578415751,-1.698293029,4.351952044,-0.897900318,1.020392243,-0.625159825,-1.4865348,0.89173826,0.180739838,-3.073517031,0.013158956,-0.891359757
117,1,-0.652363233,0.692424066,-0.878539059,0.707636887,-2.311456736,-1.688927123,-1.531298179,4.366233365,-1.045790363,0.904505758,-0.570990561,-1.424688444,0.814506033,0.274254613,-3.261482072,-0.328211617,-0.348946153
118,1,-0.655827553,0.630087623,-1.05011936,0.785505088,-1.255563335,-1.340981086,-1.503125413,4.273703296,-0.963504888,0.846286083,-0.592091922,-2.278189716,0.654628732,0.20807103,-3.311475521,1.055805271,-2.030632022
119,1,-0.664738159,0.602999352,-1.108038801,0.541706835,-1.912562846,-1.281657974,-1.160821501,4.274177778,-1.177215311,0.884858653,-0.720732428,-1.734080065,0.901881819,0.292928869,-2.819370611,-0.44359887,-1.139662626
120,1,-0.8177562,0.502301229,-0.712577519,0.547871525,-2.17184742,-0.862373265,-1.206096058,4.30366125,-1.310563318,1.251635006,-0.669336195,-1.766382312,0.542754044,0.169416527,-2.103200482,-0.520053429,-0.801468975
